"animal","gene","sex","zygosity","week","weight"
"142",116489506,"143",1,0,7.428571428,25.7
"143",116489506,"143",1,0,9,26.4
"144",116489506,"143",1,0,9.714285714,27.1
"145",116489506,"143",1,0,10.428571428,28
"146",116489506,"143",1,0,11.857142857,28.1
"147",116489506,"143",1,0,12.571428571,28.8
"148",116489506,"143",1,0,13.571428571,29.4
"149",116489506,"143",1,0,14.857142857,29
"150",116489506,"143",1,0,15.571428571,28.693
"151",116489507,"143",1,0,4,15.6
"152",116489507,"143",1,0,5,20.4
"153",116489507,"143",1,0,6,23.3
"154",116489507,"143",1,0,7,25.5
"155",116489507,"143",1,0,7.428571428,26.2
"156",116489507,"143",1,0,9,27.5
"157",116489507,"143",1,0,9.714285714,27.9
"158",116489507,"143",1,0,10.428571428,28.4
"159",116489507,"143",1,0,11.857142857,28.5
"160",116489507,"143",1,0,12.571428571,29.2
"161",116489507,"143",1,0,13.571428571,28.7
"162",116489507,"143",1,0,14.857142857,29.5
"163",116489507,"143",1,0,15.571428571,29.407
"164",116489508,"143",0,0,4,13.7
"165",116489508,"143",0,0,5,15.5
"166",116489508,"143",0,0,6,16.7
"167",116489508,"143",0,0,7,17.9
"168",116489508,"143",0,0,7.428571428,17.9
"169",116489508,"143",0,0,9,18.8
"170",116489508,"143",0,0,9.714285714,19
"171",116489508,"143",0,0,10.428571428,18.8
"172",116489508,"143",0,0,11.857142857,19
"173",116489508,"143",0,0,12.571428571,19.7
"174",116489508,"143",0,0,13.428571428,19.8
"175",116489508,"143",0,0,14.857142857,20.1
"176",116489508,"143",0,0,16,21.436
"177",116489509,"143",0,0,4,14.9
"178",116489509,"143",0,0,5,16.8
"179",116489509,"143",0,0,6,17.8
"180",116489509,"143",0,0,7,18.2
"181",116489509,"143",0,0,7.428571428,19
"182",116489509,"143",0,0,9,20.2
"183",116489509,"143",0,0,9.714285714,21.2
"184",116489509,"143",0,0,10.428571428,21.9
"185",116489509,"143",0,0,11.857142857,21.4
"186",116489509,"143",0,0,12.571428571,21.9
"187",116489509,"143",0,0,13.428571428,22.7
"188",116489509,"143",0,0,14.857142857,23.5
"189",116489509,"143",0,0,16,24.948
"190",116489510,"143",0,0,4,15.9
"191",116489510,"143",0,0,5,17.7
"192",116489510,"143",0,0,6,18.2
"193",116489510,"143",0,0,7,20
"194",116489510,"143",0,0,7.428571428,20.3
"195",116489510,"143",0,0,9,21
"196",116489510,"143",0,0,9.714285714,21.1
"197",116489510,"143",0,0,11.857142857,21.7
"198",116489510,"143",0,0,12.571428571,22.5
"199",116489510,"143",0,0,13.428571428,22.6
"200",116489510,"143",0,0,14.857142857,24.8
"201",145453164,"377",1,1,3.428571428,8.19
"202",145453164,"377",1,1,4.285714285,13.15
"203",145453164,"377",1,1,5.285714285,19.2
"204",145453164,"377",1,1,6.428571428,22.6
"205",145453164,"377",1,1,7.428571428,22.6
"206",145453164,"377",1,1,9.428571428,24.35
"207",145453164,"377",1,1,8.428571428,23.21
"208",145453164,"377",1,1,11.142857142,25.54
"209",145453164,"377",1,1,10.142857142,24.22
"210",145453164,"377",1,1,13.142857142,26.68
"211",145453164,"377",1,1,12.428571428,26
"212",145453164,"377",1,1,14.142857142,26.84
"213",145453164,"377",1,1,15.571428571,27.4
"214",145453164,"377",1,1,16.285714285,27.26
"215",145453160,"377",1,1,3.428571428,9.47
"216",145453160,"377",1,1,4.285714285,14.43
"217",145453160,"377",1,1,5.285714285,18.66
"218",145453160,"377",1,1,6.428571428,19.62
"219",145453160,"377",1,1,7.428571428,21.65
"220",145453160,"377",1,1,9.428571428,23.33
"221",145453160,"377",1,1,8.428571428,22.22
"222",145453160,"377",1,1,11.142857142,24.49
"223",145453160,"377",1,1,10.142857142,23.65
"224",145453160,"377",1,1,13.142857142,25.06
"225",145453160,"377",1,1,12.428571428,24.77
"226",145453160,"377",1,1,14.142857142,24.35
"227",145453160,"377",1,1,15.571428571,25.84
"228",145453160,"377",1,1,16.285714285,26.31
"229",145452551,"377",0,1,2.857142857,7.45
"230",145452551,"377",0,1,4.142857142,13.93
"231",145452551,"377",0,1,5.142857142,15.2
"232",145452551,"377",0,1,5.714285714,14.86
"233",145452551,"377",0,1,6.857142857,17
"234",145452551,"377",0,1,7.857142857,17.33
"235",145452551,"377",0,1,9.714285714,18.98
"236",145452551,"377",0,1,11.857142857,20.85
"237",145452551,"377",0,1,10.571428571,19.25
"238",145452551,"377",0,1,12.571428571,20.74
"239",145452551,"377",0,1,13.571428571,21.44
"240",145452551,"377",0,1,15.142857142,22.55
"241",145452551,"377",0,1,15.714285714,22.14
"242",145452551,"377",0,1,9.142857142,18.2
"243",145452547,"377",0,1,2.857142857,7.53
"244",145452547,"377",0,1,4.142857142,14.42
"245",145452547,"377",0,1,5.142857142,16.29
"246",145452547,"377",0,1,5.714285714,15.8
"247",145452547,"377",0,1,6.857142857,17.28
"248",145452547,"377",0,1,7.857142857,19.07
"249",145452547,"377",0,1,9.714285714,20.27
"250",145452547,"377",0,1,11.857142857,22.09
"251",145452547,"377",0,1,10.571428571,19.51
"252",145452547,"377",0,1,12.571428571,21.53
"253",145452547,"377",0,1,13.571428571,22.28
"254",145452547,"377",0,1,15.142857142,21.94
"255",145452547,"377",0,1,15.714285714,21.91
"256",145452547,"377",0,1,9.142857142,19.52
"257",145453071,"377",1,1,3.428571428,10.89
"258",145453071,"377",1,1,4.285714285,16.44
"259",145453071,"377",1,1,5.285714285,20.3
"260",145453071,"377",1,1,6.428571428,21.53
"261",145453071,"377",1,1,7.428571428,21.24
"262",145453071,"377",1,1,9.428571428,24.82
"263",145453071,"377",1,1,8.428571428,23.96
"264",145453071,"377",1,1,11.142857142,25.83
"265",145453071,"377",1,1,10.142857142,25.29
"266",145453071,"377",1,1,13.142857142,26.68
"267",145453071,"377",1,1,12.428571428,26.57
"268",145453071,"377",1,1,15.571428571,27.79
"269",145453071,"377",1,1,14.142857142,27.73
"270",145453071,"377",1,1,16.285714285,28.36
"271",145452982,"377",0,1,11.285714285,20.09
"272",145452982,"377",0,1,3.428571428,8.81
"273",145452982,"377",0,1,4.285714285,13.63
"274",145452982,"377",0,1,5.285714285,15.88
"275",145452982,"377",0,1,7.428571428,17.79
"276",145452982,"377",0,1,6.428571428,15.92
"277",145452982,"377",0,1,8.428571428,19.12
"278",145452982,"377",0,1,9.428571428,19.2
"279",145452982,"377",0,1,10.142857142,19.23
"280",145452982,"377",0,1,13.142857142,20.6
"281",145452982,"377",0,1,12.428571428,20.37
"282",145452982,"377",0,1,15.571428571,20.89
"283",145452982,"377",0,1,14.142857142,21.18
"284",145452982,"377",0,1,16.285714285,21.07
"285",145453427,"377",1,1,4,13.08
"286",145453427,"377",1,1,3.142857142,7.4
"287",145453427,"377",1,1,5,17.83
"288",145453427,"377",1,1,6.142857142,18.94
"289",145453427,"377",1,1,7.142857142,20.4
"290",145453427,"377",1,1,8.142857142,22.4
"291",145453427,"377",1,1,9.142857142,24.31
"292",145453427,"377",1,1,9.857142857,24.88
"293",145453427,"377",1,1,10.857142857,24.39
"294",145453427,"377",1,1,12.857142857,26.08
"295",145453427,"377",1,1,13.857142857,26.41
"296",145453427,"377",1,1,12.142857142,26.21
"297",145453427,"377",1,1,15.285714285,26.21
"298",145453427,"377",1,1,16,26.83
"299",145452365,"377",1,1,4.285714285,17.05
"300",145452365,"377",1,1,3,8.61
"301",145452365,"377",1,1,5.285714285,21.15
"302",145452365,"377",1,1,5.857142857,22.04
"303",145452365,"377",1,1,7,24.03
"304",145452365,"377",1,1,8,25.27
"305",145452365,"377",1,1,10.857142857,26.9
"306",145452365,"377",1,1,9.857142857,27.11
"307",145452365,"377",1,1,13.714285714,27.56
"308",145452365,"377",1,1,15.857142857,29.41
"309",145452365,"377",1,1,12,27.35
"310",145452365,"377",1,1,12.857142857,28.22
"311",145452365,"377",1,1,15.285714285,28.4
"312",145452365,"377",1,1,9.285714285,25.1
"313",145452369,"377",0,1,3,10.5
"314",145452369,"377",0,1,4.285714285,16.14
"315",145452369,"377",0,1,5.285714285,19.71
"316",145452369,"377",0,1,5.857142857,19.02
"317",145452369,"377",0,1,7,19.37
"318",145452369,"377",0,1,8,20.67
"319",145452369,"377",0,1,9.857142857,22.16
"320",145452369,"377",0,1,12,22.48
"321",145452369,"377",0,1,10.714285714,22.18
"322",145452369,"377",0,1,12.714285714,21.95
"323",145452369,"377",0,1,13.714285714,23.61
"324",145452369,"377",0,1,15.285714285,24.69
"325",145452369,"377",0,1,15.857142857,24.31
"326",145452369,"377",0,1,9.285714285,20.86
"327",145452272,"377",0,1,3,8.69
"328",145452272,"377",0,1,4.285714285,15.84
"329",145452272,"377",0,1,5.285714285,18.17
"330",145452272,"377",0,1,5.857142857,18.49
"331",145452272,"377",0,1,7,19.09
"332",145452272,"377",0,1,8,20.46
"333",145452272,"377",0,1,9.857142857,21.26
"334",145452272,"377",0,1,12,20.32
"335",145452272,"377",0,1,10.714285714,18.95
"336",145452272,"377",0,1,12.714285714,20.6
"337",145452272,"377",0,1,13.714285714,21.43
"338",145452272,"377",0,1,15.285714285,21.89
"339",145452272,"377",0,1,15.857142857,23.23
"340",145452272,"377",0,1,9.285714285,20.3
"341",145452276,"377",1,1,4.285714285,16.96
"342",145452276,"377",1,1,3,8.63
"343",145452276,"377",1,1,5.285714285,20.71
"344",145452276,"377",1,1,5.857142857,20.31
"345",145452276,"377",1,1,7,21.38
"346",145452276,"377",1,1,8,22.05
"347",145452276,"377",1,1,10.857142857,24.03
"348",145452276,"377",1,1,9.857142857,23.09
"349",145452276,"377",1,1,13.714285714,26.38
"350",145452276,"377",1,1,15.857142857,26.12
"351",145452276,"377",1,1,12,24.81
"352",145452276,"377",1,1,15.285714285,25.38
"353",145452276,"377",1,1,12.857142857,24.78
"354",145452276,"377",1,1,9.285714285,22.77
"355",145453626,"377",0,0,3.285714285,11.61
"356",145453626,"377",0,0,4.571428571,16.79
"357",145453626,"377",0,0,5.571428571,19.08
"358",145452373,"377",1,1,3,8.24
"359",145452373,"377",1,1,4.285714285,16.01
"360",145452373,"377",1,1,5.285714285,19.75
"361",145452373,"377",1,1,5.857142857,19.86
"362",145452373,"377",1,1,8,23.38
"363",145452373,"377",1,1,9.857142857,25.02
"364",145452373,"377",1,1,10.857142857,25.05
"365",145452373,"377",1,1,12,26.75
"366",145452373,"377",1,1,13.714285714,26.92
"367",145452373,"377",1,1,15.857142857,27.2
"368",145452373,"377",1,1,15.285714285,27.33
"369",145452373,"377",1,1,12.857142857,26.39
"370",145452373,"377",1,1,9.285714285,24.25
"371",145453168,"377",0,1,11.285714285,20.55
"372",145453168,"377",0,1,3.428571428,9.74
"373",145453168,"377",0,1,4.285714285,13.54
"374",145453168,"377",0,1,6.428571428,16.53
"375",145453168,"377",0,1,5.285714285,15
"376",145453168,"377",0,1,7.428571428,17.84
"377",145453168,"377",0,1,10.142857142,18.97
"378",145453168,"377",0,1,13.142857142,21.21
"379",145453168,"377",0,1,12.428571428,21.35
"380",145453168,"377",0,1,15.571428571,21.57
"381",145453168,"377",0,1,14.142857142,21.08
"382",145453168,"377",0,1,16.285714285,21.43
"383",145451915,"377",0,1,3.285714285,11.23
"384",145451915,"377",0,1,4.571428571,17.42
"385",145451915,"377",0,1,5.571428571,18.22
"386",145451915,"377",0,1,6.142857142,17.58
"387",145451915,"377",0,1,7.285714285,18.18
"388",145451915,"377",0,1,8.285714285,18.75
"389",145451915,"377",0,1,10.142857142,20.78
"390",145451915,"377",0,1,14,22.32
"391",145451915,"377",0,1,12.285714285,21.19
"392",145451915,"377",0,1,11,20.97
"393",145451915,"377",0,1,13,22.24
"394",145451915,"377",0,1,15.571428571,21.16
"395",145451915,"377",0,1,16.142857142,22.25
"396",145451915,"377",0,1,9.571428571,19.95
"397",145451919,"377",0,1,3.285714285,10.48
"398",145451919,"377",0,1,4.571428571,17.07
"399",145451919,"377",0,1,6.142857142,18.82
"400",145451919,"377",0,1,5.571428571,19.03
"401",145451919,"377",0,1,7.285714285,19.37
"402",145451919,"377",0,1,8.285714285,20.23
"403",145451919,"377",0,1,10.142857142,21.92
"404",145451919,"377",0,1,12.285714285,21.47
"405",145451919,"377",0,1,11,21.53
"406",145451919,"377",0,1,13,22.85
"407",145451919,"377",0,1,14,21.92
"408",145451919,"377",0,1,15.571428571,23.02
"409",145451919,"377",0,1,16.142857142,23.4
"410",145451919,"377",0,1,9.571428571,21.41
"411",145452008,"377",1,1,3.285714285,11.19
"412",145452008,"377",1,1,4.571428571,21.32
"413",145452008,"377",1,1,5.571428571,22.88
"414",145452008,"377",1,1,6.142857142,22.98
"415",145452008,"377",1,1,8.285714285,24.94
"416",145452008,"377",1,1,7.285714285,24.74
"417",145452008,"377",1,1,10.142857142,27.36
"418",145452008,"377",1,1,12.285714285,27.6
"419",145452008,"377",1,1,11,27.16
"420",145452008,"377",1,1,13,28.49
"421",145452008,"377",1,1,14,29.65
"422",145452008,"377",1,1,15.571428571,28.1
"423",145452008,"377",1,1,16.142857142,28.84
"424",145452008,"377",1,1,9.571428571,26.2
"425",145452808,"377",0,1,4.571428571,15.44
"426",145452808,"377",0,1,3.714285714,12.24
"427",145452808,"377",0,1,6.714285714,19.38
"428",145452808,"377",0,1,5.571428571,16.69
"429",145452808,"377",0,1,7.714285714,20.27
"430",145452808,"377",0,1,9.571428571,21.44
"431",145452808,"377",0,1,11.714285714,23.34
"432",145452808,"377",0,1,10.428571428,22.39
"433",145452808,"377",0,1,12.428571428,22.28
"434",145452808,"377",0,1,13.428571428,23.18
"435",145452808,"377",0,1,15,23.32
"436",145452808,"377",0,1,15.571428571,23.51
"437",145452808,"377",0,1,9,20.52
"438",145453622,"377",1,1,4,13.69
"439",145453622,"377",1,1,3.142857142,8
"440",145453622,"377",1,1,5,19.55
"441",145453622,"377",1,1,6.142857142,21.05
"442",145453622,"377",1,1,7.142857142,22.87
"443",145453622,"377",1,1,8.142857142,24.37
"444",145453622,"377",1,1,9.142857142,25.38
"445",145453622,"377",1,1,9.857142857,25.5
"446",145453622,"377",1,1,10.857142857,25.33
"447",145453622,"377",1,1,12.857142857,27.07
"448",145453622,"377",1,1,13.857142857,27.42
"449",145453622,"377",1,1,12.142857142,27
"450",145453622,"377",1,1,15.285714285,27.53
"451",145453622,"377",1,1,16,28.1
"452",145453443,"377",1,1,2.857142857,7.75
"453",145453443,"377",1,1,3.714285714,13.02
"454",145453443,"377",1,1,4.714285714,18.11
"455",145453443,"377",1,1,5.857142857,21.75
"456",145453443,"377",1,1,6.857142857,23.13
"457",145453443,"377",1,1,7.857142857,24.34
"458",145453443,"377",1,1,8.857142857,25.97
"459",145453443,"377",1,1,9.571428571,26.05
"460",145453443,"377",1,1,10.571428571,26.52
"461",145453443,"377",1,1,12.571428571,27.86
"462",145453443,"377",1,1,13.571428571,29.55
"463",145453443,"377",1,1,11.857142857,27.94
"464",145453443,"377",1,1,15,29.15
"465",145453443,"377",1,1,15.714285714,29.05
"466",145453439,"377",1,1,2.857142857,7.82
"467",145453439,"377",1,1,3.714285714,13.35
"468",145453439,"377",1,1,4.714285714,19.03
"469",145453439,"377",1,1,5.857142857,20.1
"470",145453439,"377",1,1,6.857142857,21.76
"471",145453439,"377",1,1,7.857142857,24.15
"472",145453439,"377",1,1,8.857142857,24.2
"473",145453439,"377",1,1,9.571428571,24.74
"474",145453439,"377",1,1,10.571428571,25.4
"475",145453439,"377",1,1,12.571428571,27.8
"476",145453439,"377",1,1,13.571428571,28.45
"477",145453439,"377",1,1,11.857142857,27.64
"478",145453439,"377",1,1,15,28.8
"479",145453439,"377",1,1,15.714285714,29.54
"480",145453435,"377",1,1,3.714285714,11.69
"481",145453435,"377",1,1,2.857142857,6.79
"482",145453435,"377",1,1,4.714285714,17.98
"483",145453435,"377",1,1,5.857142857,21.1
"484",145453435,"377",1,1,6.857142857,21.67
"485",145453435,"377",1,1,7.857142857,23
"486",145453435,"377",1,1,8.857142857,23.41
"487",145453435,"377",1,1,9.571428571,23.59
"488",145453435,"377",1,1,10.571428571,24.38
